id,created_date,closed_date,product,lead_source,region,amount,status,objection,sales_rep
1,2024-01-05,2024-02-10,Enterprise Suite,Website,North America,75000,Won,,John Smith
2,2024-01-12,2024-02-18,Professional Plan,Referral,Europe,32000,Won,,Sarah Johnson
3,2024-01-15,2024-03-05,Advanced Solution,Trade Show,Asia Pacific,45000,Lost,Price too high,John Smith
4,2024-01-20,2024-02-25,Basic Package,Cold Call,North America,12000,Won,,Michael Brown
5,2024-01-22,,Enterprise Suite,Website,Europe,85000,In Progress,,Sarah Johnson
6,2024-01-25,2024-03-10,Professional Plan,Partner,North America,28000,Lost,Competitor selected,David Wilson
7,2024-01-28,2024-03-15,Advanced Solution,Email Campaign,Asia Pacific,52000,Won,,Michael Brown
8,2024-02-02,2024-03-20,Basic Package,Webinar,Europe,15000,Won,,John Smith
9,2024-02-05,,Enterprise Suite,Referral,North America,90000,In Progress,,David Wilson
10,2024-02-08,2024-03-25,Professional Plan,Website,Asia Pacific,35000,Lost,No budget,Sarah Johnson
11,2024-02-10,2024-03-30,Advanced Solution,Trade Show,Europe,48000,Won,,Michael Brown
12,2024-02-15,2024-04-05,Basic Package,Cold Call,North America,14000,Won,,John Smith
13,2024-02-18,,Enterprise Suite,Partner,Asia Pacific,95000,In Progress,,David Wilson
14,2024-02-20,2024-04-10,Professional Plan,Email Campaign,Europe,38000,Lost,Need more features,Sarah Johnson
15,2024-02-25,2024-04-15,Advanced Solution,Webinar,North America,55000,Won,,Michael Brown
16,2024-03-01,2024-04-20,Basic Package,Referral,Asia Pacific,16000,Won,,John Smith
17,2024-03-05,,Enterprise Suite,Website,Europe,92000,In Progress,,David Wilson
18,2024-03-08,2024-04-25,Professional Plan,Trade Show,North America,40000,Lost,Too complex,Sarah Johnson
19,2024-03-10,2024-04-30,Advanced Solution,Cold Call,Asia Pacific,58000,Won,,Michael Brown
20,2024-03-15,2024-05-05,Basic Package,Partner,Europe,18000,Won,,John Smith
21,2024-03-18,,Enterprise Suite,Email Campaign,North America,98000,In Progress,,David Wilson
22,2024-03-20,2024-05-10,Professional Plan,Webinar,Asia Pacific,42000,Lost,No current need,Sarah Johnson
23,2024-03-22,2024-05-15,Advanced Solution,Referral,Europe,60000,Won,,Michael Brown
24,2024-03-25,2024-05-20,Basic Package,Website,North America,17000,Won,,John Smith
25,2024-03-28,,Enterprise Suite,Trade Show,Asia Pacific,105000,In Progress,,David Wilson
26,2024-04-01,2024-05-25,Professional Plan,Cold Call,Europe,36000,Lost,Need approval,Sarah Johnson
27,2024-04-05,2024-05-30,Advanced Solution,Partner,North America,62000,Won,,Michael Brown
28,2024-04-08,2024-06-05,Basic Package,Email Campaign,Asia Pacific,19000,Won,,John Smith
29,2024-04-10,,Enterprise Suite,Webinar,Europe,110000,In Progress,,David Wilson
30,2024-04-15,2024-06-10,Professional Plan,Referral,North America,44000,Lost,Better competitor offer,Sarah Johnson
31,2024-04-18,2024-06-15,Advanced Solution,Website,Asia Pacific,65000,Won,,Michael Brown
32,2024-04-20,2024-06-20,Basic Package,Trade Show,Europe,21000,Won,,John Smith
33,2024-04-25,,Enterprise Suite,Cold Call,North America,115000,In Progress,,David Wilson
34,2024-04-28,2024-06-25,Professional Plan,Partner,Asia Pacific,39000,Lost,Price too high,Sarah Johnson
35,2024-05-01,2024-06-30,Advanced Solution,Email Campaign,Europe,68000,Won,,Michael Brown
36,2024-05-05,2024-07-05,Basic Package,Webinar,North America,20000,Won,,John Smith
37,2024-05-08,,Enterprise Suite,Referral,Asia Pacific,120000,In Progress,,David Wilson
38,2024-05-10,2024-07-10,Professional Plan,Website,Europe,45000,Lost,Need more time,Sarah Johnson
39,2024-05-15,2024-07-15,Advanced Solution,Trade Show,North America,70000,Won,,Michael Brown
40,2024-05-18,2024-07-20,Basic Package,Cold Call,Asia Pacific,22000,Won,,John Smith
41,2024-05-20,,Enterprise Suite,Partner,Europe,125000,In Progress,,David Wilson
42,2024-05-25,2024-07-25,Professional Plan,Email Campaign,North America,46000,Lost,Integration issues,Sarah Johnson
43,2024-05-28,2024-07-30,Advanced Solution,Webinar,Asia Pacific,72000,Won,,Michael Brown
44,2024-06-01,2024-08-05,Basic Package,Referral,Europe,23000,Won,,John Smith
45,2024-06-05,,Enterprise Suite,Website,North America,130000,In Progress,,David Wilson
46,2024-06-08,2024-08-10,Professional Plan,Trade Show,Asia Pacific,48000,Lost,No budget,Sarah Johnson
47,2024-06-10,2024-08-15,Advanced Solution,Cold Call,Europe,75000,Won,,Michael Brown
48,2024-06-15,2024-08-20,Basic Package,Partner,North America,24000,Won,,John Smith
49,2024-06-18,,Enterprise Suite,Email Campaign,Asia Pacific,135000,In Progress,,David Wilson
50,2024-06-20,2024-08-25,Professional Plan,Webinar,Europe,50000,Lost,Missing features,Sarah Johnson